ID,Fuel_Type_Code,Station_Name,Street_Address,City,State,ZIP,Status_Code,Groups_With_Access_Code,Geocode_Status,Latitude,Longitude,Country,Groups_With_Access_Code_French,Access_Code
123056,ELEC,Bear Mountain State Park,3006 Seven Lakes Pkwy,Bear Mountain,NY,10911,E,Public,200-8,41.309433,-73.990271,US,Public,public
123057,ELEC,Bard College,11 Henderson Circle Dr,Annandale-on-Hudson,NY,12504,E,Public,GPS,42.0201084,-73.9072956,US,Public,public
123058,ELEC,New York University - Plaza Nursery School,110 Bleecker St,New York,NY,10011,E,Public,GPS,40.7273617,-73.9975331999999,US,Public,public
123059,ELEC,IBM Corp - Yorktown Research Center,1101 Kitchawan Rd,Yorktown Heights,NY,10598,E,Private,GPS,41.2157994,-73.8080055,US,Privé,private
123060,ELEC,Veteran's Municipal Parking Lot,111 Main St,Nyack,NY,10960,E,Public,GPS,41.090931,-73.91985,US,Public,public
123061,ELEC,St. Paul's Church Episcopal,121 Lincoln Ave,Waddington,NY,13694,E,Public,GPS,44.8633875685019,-75.2028792060754,US,Public,public
123062,ELEC,Rondout Valley Central School District Office,122 Kyserike Rd,Accord,NY,12404,E,Public,GPS,41.8141987,-74.1893163,US,Public,public
123063,ELEC,New York Power Authority - Corporate,123 Main St,White Plains,NY,10601,E,Private,GPS,41.032924,-73.7690219,US,Privé,private
123064,ELEC,Vassar College,124 Raymond Ave,Poughkeepsie,NY,12604,E,Public,GPS,41.690219,-73.898165,US,Public,public
123065,ELEC,Rochester Optical,1260 Lyell Ave,Rochester,NY,14606,E,Public,GPS,43.165109,-77.658178,US,Public,public
123066,ELEC,Genesee Valley Park - Sports Complex,131 Elmwood Ave,Rochester,NY,14611,E,Public,GPS,43.124109,-77.635749,US,Public,public
123067,ELEC,Blind Brook Treatment Plant,141 Oakland Beach Ave,Rye,NY,10580,E,Public,GPS,40.9653522,-73.6897307999999,US,Public,public
123068,ELEC,Rochester General Hospital,1425 Portland Ave,Rochester,NY,14621,E,Public,GPS,43.192906,-77.5870219,US,Public,public
123069,ELEC,Queens Family Court Garage,150-07 Archer St,Queens,NY,11433,E,Public,GPS,40.7044805,-73.7927244,US,Public,public
123070,ELEC,Gedney Park,155 Millwood Rd,Chappaqua,NY,10514,E,Public,GPS,41.184415,-73.7961799999999,US,Public,public
123071,ELEC,Tupper Lake Municipal Park,17 Demars Blvd,Tupper Lake,NY,12986,E,Public,GPS,44.227526,-74.4644819999999,US,Public,public
123072,ELEC,Black Brook Town Offices,18 N Main St,Au Sable Forks,NY,12912,E,Public,GPS,44.4425278,-73.6746031,US,Public,public
123075,ELEC,New Lab,19 Morris Ave,Brooklyn,NY,11205,E,Public,GPS,40.69953,-73.974315,US,Public,public
123076,ELEC,Rosendale Justice Department,1915 Lucas Ave,Cottekill,NY,12419,E,Public,GPS,41.8537098,-74.1063657999999,US,Public,public
123077,ELEC,SUNY Empire State College,2 Union Ave,Saratoga Springs,NY,12866,E,Public,GPS,43.0773406,-73.7824426999999,US,Public,public
123078,ELEC,Lane Valente Industries,20 Keyland Ct,Bohemia,NY,11716,E,Public,GPS,40.7762862,-73.0959563999999,US,Public,public
123079,ELEC,New Castle Town,200 S Greeley Ave,Chappaqua,NY,10514,E,Public,GPS,41.1554224,-73.7746444,US,Public,public
123080,ELEC,Calspan Flight Research,2041 Niagara Falls Blvd,Niagara Falls,NY,14304,E,Private,GPS,43.101287,-78.939885,US,Privé,private
123081,ELEC,Bread Alone Bakery,2121 Ulster Ave,Lake Katrine,NY,12449,E,Public,GPS,41.9948597,-73.9864873,US,Public,public
123082,ELEC,Akorn,219 Dixon Ave,Amityville,NY,11701,E,Private,GPS,40.6835756,-73.4085594,US,Privé,private
123083,ELEC,Town of Westport New York,22 Champlain Ave,Westport,NY,12993,E,Public,GPS,44.1858358,-73.4355011,US,Public,public
123084,ELEC,Dutchess County Motor Vehicles,22 Market St,Poughkeepsie,NY,12601,E,Public,GPS,41.703439,-73.929551,US,Public,public
123085,ELEC,Beacon Department of Motor Vehicles,223 Main St,Beacon,NY,12508,E,Public,GPS,41.5070254,-73.9741415,US,Public,public
123086,ELEC,High Falls Garage,240 State St,Rochester,NY,14614,E,Public,GPS,43.1599752,-77.6166634,US,Public,public
123088,ELEC,New York City Transit Authority - Surface Transit Headquarters,25 Jamaica Ave,Brooklyn,NY,11207,E,Public,GPS,40.678067,-73.8997292,US,Public,public
123090,ELEC,Momentive,260 Hudson River Rd,Waterford,NY,12188,E,Public,GPS,42.8178075999999,-73.6665266,US,Public,public
123091,ELEC,Malone Town - Justice Court,27 Airport Rd,Malone,NY,12953,E,Public,GPS,44.8484903432303,-74.3276753674591,US,Public,public
123092,ELEC,Jones Beach State Park,275 Bay Pkwy,Wantaugh,NY,11793,E,Public,GPS,40.596789561511,-73.4960486233459,US,Public,public
123093,ELEC,City of Rochester - Public Market,280 N Union St,Rochester,NY,14609,E,Public,GPS,43.16605,-77.591385,US,Public,public
123094,ELEC,Centereach Park,284 Hawkins Rd,Centereach,NY,11720,E,Public,GPS,40.881709,-73.076176,US,Public,public
123095,ELEC,Jamestown Park and Ride,2870 N Main St Extension,Jamestown,NY,14701,E,Public,GPS,42.122334,-79.240661,US,Public,public
123096,ELEC,Town of Pine Plains,2971 Church St,Pine Plains,NY,12567,E,Public,GPS,41.9798228,-73.6560583999999,US,Public,public
123097,ELEC,Saranac Lake Police Department,3 Main St,Saranac Lake,NY,12983,E,Public,GPS,44.3242414,-74.1319456,US,Public,public
123098,ELEC,Bear Mountain Inn and Overlook Lodge,3020 Seven Lakes Dr,Bear Mountain,NY,10911,E,Public,GPS,41.3130514,-73.9898898,US,Public,public
123099,ELEC,Moriches Community Center,313 Frowein Rd,Center Moriches,NY,11934,E,Public,GPS,40.805016,-72.807488,US,Public,public
123100,ELEC,Town of Geneva,32 White Springs Rd,Geneva,NY,14456,E,Public,GPS,42.856272,-77.00023,US,Public,public
123101,ELEC,Company,335 Madison Ave,New York,NY,10017,E,Private,GPS,40.7537571,-73.9783437999999,US,Privé,private
123102,ELEC,Jerome-Gun Hill Road - Municipal Parking Garage,3510 Jerome Ave,New York,NY,10467,E,Public,GPS,40.882958,-73.880725,US,Public,public
123103,ELEC,Charlotte Branch Library,3557 Lake Ave,Rochester,NY,14612,E,Public,GPS,43.235635,-77.624667,US,Public,public
123104,ELEC,West Jefferson Street,358 W Jefferson St,Syracuse,NY,13202,E,Public,GPS,43.0473835,-76.1581463999999,US,Public,public
123105,ELEC,Yeshiva University,385 Audubon Ave,New York,NY,10033,E,Public,GPS,40.8506642,-73.9306379,US,Public,public
123107,ELEC,Edge,3954 NY-12,Lyons Falls,NY,13368,E,Public,GPS,43.6210096999999,-75.3728714,US,Public,public
123108,ELEC,Bread Alone Bakery,3962 Route 28,Boiceville,NY,12412,E,Public,GPS,41.9972466,-74.2637521,US,Public,public
123109,ELEC,Town of DeKalb,4343 US Highway 11,DeKalb Junction,NY,13630,E,Public,GPS,44.505435,-75.2738473,US,Public,public
123110,ELEC,Delaware & Ulster Railroad,43510 Highway 28,Arkville,NY,12406,E,Public,GPS,42.1474371,-74.6149171,US,Public,public
123111,ELEC,Long Island Home Heating,45 Commerce Dr,Hauppauge,NY,11788,E,Public,GPS,40.8100667,-73.2671393,US,Public,public
123113,ELEC,Albany Parking Authority - Green Hudson Garage,45 Hudson Ave,Albany,NY,12207,E,Public,GPS,42.6480025,-73.7522905,US,Public,public
123114,ELEC,The Wild Center,451 Museum Dr,Tupper Lake,NY,12986,E,Public,GPS,44.2203185,-74.4399163,US,Public,public
123115,ELEC,Grand Ave Bus Depot & Central Maintenance Facility,4805 Grand Ave,Maspeth,NY,11378,E,Public,GPS,40.7174257,-73.9202355,US,Public,public
123116,ELEC,Selux Corp,5 Lumen Ln,Highland,NY,12528,E,Public,GPS,41.739522,-73.9603623,US,Public,public
123117,ELEC,Walkway Over the Hudson,61 Parker Ave,Poughkeepsie,NY,12601,E,Public,GPS,41.711943,-73.926052,US,Public,public
