Fecha,Pasajeros_por_dia,Viajes_por_dia,Tarifario_por_dia,Total_recaudado_por_dia,Pago_con_tarjeta,Pago_con_efectivo,Tipo_de_Taxi
2022-09-19,136955,105585,1696845.95,2457723.41,3269,80144,yellow
2022-09-20,137521,106678,1767963.13,2543743.11,3753,81525,yellow
2022-09-21,131846,102864,1790913.13,2559346.13,3918,78589,yellow
2022-09-22,139741,109086,1799207.02,2598705.1,4584,83732,yellow
2022-09-23,158165,119173,1905776.55,2765694.59,4890,90701,yellow
2022-09-24,164953,117453,1925583.71,2690049.28,4471,88858,yellow
2022-09-25,136438,99174,1575823.47,2259836.67,4446,74095,yellow
2022-09-26,130533,97024,1486844.73,2174940.57,2913,72632,yellow
2022-09-27,148270,113328,1650008.65,2436716.17,3118,87716,yellow
2022-09-28,158640,122550,1815589.63,2670550.09,3612,95693,yellow
2022-09-29,165263,126801,1943131.26,2843769.8,3958,98837,yellow
2022-09-30,133,78,1069.5,1537.63,0,58,yellow
2022-09-30,165462,123771,1883813.85,2755818.67,4077,95354,yellow
2022-10-01,47,19,216.5,337.8,0,14,yellow
2022-10-01,164844,118049,1681671.84,2443058.67,4482,90626,yellow
2022-10-02,133628,95806,1514582.37,2153460.0,2922,68577,yellow
2022-10-03,138786,108671,1609794.94,2357450.38,4653,81190,yellow
2022-10-04,140609,109671,1591284.42,2337798.7,4477,83749,yellow
2022-10-05,151771,114764,1603927.94,2389249.61,3353,89007,yellow
2022-10-06,160171,123838,1972287.55,2858637.75,4790,94755,yellow
2022-10-07,167486,125029,1969024.62,2861567.5,4822,95160,yellow
2022-10-08,173990,122419,1832471.6,2634054.38,4326,92683,yellow
2022-10-09,138140,98213,1648380.0,2347192.96,3596,74163,yellow
2022-10-10,129240,94815,1543600.33,2219863.13,2326,71724,yellow
2022-10-11,156419,119423,1812178.11,2657266.33,3290,92203,yellow
2022-10-12,163083,124848,1904948.79,2787058.44,3835,96846,yellow
2022-10-13,165771,128716,1987390.73,2905161.06,5096,99150,yellow
2022-10-14,170285,127324,1982956.84,2893454.57,4623,97294,yellow
2022-10-15,179498,127002,1903998.21,2736316.48,4615,97246,yellow
2022-10-16,150172,108571,1742986.11,2504736.62,3576,83281,yellow
2022-10-17,146420,111867,1712356.91,2517990.83,3746,85763,yellow
2022-10-18,161385,124694,1870759.44,2750616.88,3727,97239,yellow
2022-10-19,166309,129781,1976030.19,2897041.56,4353,101266,yellow
2022-10-20,170964,132409,2045443.18,2989746.91,4437,102461,yellow
2022-10-21,173402,129437,2020728.19,2949395.48,4625,99069,yellow
2022-10-22,179917,128225,1887966.13,2724284.62,4965,97413,yellow
2022-10-23,145835,105866,1697305.52,2440922.0100000002,4306,80388,yellow
2022-10-24,4,4,295.0,337.27,0,3,yellow
2022-10-24,143761,111417,1674867.71,2459864.96,4631,83567,yellow
2022-10-25,9,7,364.0,423.21999999999997,0,4,yellow
2022-10-25,158319,123128,1830835.93,2683187.07,4207,94740,yellow
2022-10-26,166118,128891,1977049.43,2890943.32,4123,99781,yellow
2022-10-27,171333,132412,2085452.14,3035093.41,4491,102515,yellow
2022-10-28,176195,132215,2021616.78,2949718.5,5345,101264,yellow
2022-10-29,178223,127966,1901424.57,2728555.84,6474,96733,yellow
2022-10-30,148735,108386,1715171.25,2456072.74,5174,81150,yellow
2022-10-31,134162,101467,1513662.85,2207045.77,3635,75742,yellow
2022-10-31,60,34,590.0,844.6899999999999,0,24,yellow
2022-11-01,17,9,217.5,287.39,0,6,yellow
2022-11-01,154155,120506,1812267.0,2654261.55,4635,92073,yellow
2022-11-02,161757,126271,1867483.55,2739747.41,4025,96776,yellow
2022-11-03,170193,131484,2007655.84,2934702.02,4325,101374,yellow
2022-11-04,175895,130682,1958269.08,2871258.64,4366,100340,yellow
2022-11-05,185314,130401,1889962.23,2728856.43,4200,100287,yellow
2022-11-06,145360,104570,1669204.54,2400124.18,3893,80481,yellow
2022-11-07,146758,112135,1743542.11,2548830.95,3654,85762,yellow
2022-11-08,154032,121121,1737122.71,2540424.57,3882,94746,yellow
2022-11-09,164026,128700,1918047.59,2814805.7,4459,100812,yellow
2022-11-10,170722,132727,2054196.9,2999507.48,4894,103598,yellow
2022-11-11,155866,117728,1844318.57,2655691.97,5302,90970,yellow
2022-11-12,183925,130944,1894699.19,2740374.18,4938,100996,yellow
2022-11-13,155313,114269,1822364.42,2626212.66,5148,87755,yellow
2022-11-14,111405,82278,1283523.85,1880651.27,2424,62701,yellow
2022-11-15,119347,90728,1382501.84,2027394.81,4019,70198,yellow
2022-11-16,122569,92660,1422233.89,2085448.3800000001,3701,72485,yellow
2022-11-17,127066,95344,1495532.24,2185740.39,3902,74382,yellow
2022-11-18,130031,95454,1444777.15,2121567.58,4268,72748,yellow
2022-11-19,135870,94932,1395007.78,2018649.4,4501,72137,yellow
2022-11-20,114347,81125,1245019.28,1798234.42,4065,61530,yellow
2022-11-21,141364,108526,1597100.4,2334026.02,4437,81538,yellow
2022-11-22,148706,114546,1721409.07,2506904.77,5020,86283,yellow
2022-11-23,145050,105640,1561128.64,2273212.72,4192,77556,yellow
2022-11-24,99104,69663,1002268.4,1438893.42,3804,47670,yellow
2022-11-25,128683,86607,1217238.8,1791288.42,2580,61873,yellow
2022-11-26,148015,99513,1520711.71,2181766.5100000002,2589,73164,yellow
2022-11-27,126782,90529,1484688.93,2128857.4,3082,68314,yellow
2022-11-28,138095,106488,1704447.86,2483880.14,3061,81382,yellow
2022-11-29,152373,119372,1794062.34,2630170.1,3766,92485,yellow
2022-11-30,148689,117677,1817004.61,2643609.57,4826,91059,yellow
2022-11-30,75,41,684.5,1006.91,0,35,yellow
2022-12-01,169312,130584,2064480.09,3001128.02,4476,101116,yellow
2022-12-01,79,57,821.5,1185.16,0,48,yellow
2022-12-02,177079,129951,1962085.79,2872137.19,4349,99297,yellow
2022-12-03,184078,129172,1870297.72,2704089.73,5319,98720,yellow
2022-12-04,156873,111619,1809308.07,2596689.99,4102,85348,yellow
2022-12-05,148983,113626,1765361.54,2583766.22,3386,86619,yellow
2022-12-06,151922,120179,1894621.04,2756391.95,5204,92852,yellow
2022-12-07,160316,125589,2005880.9,2921494.99,4809,98249,yellow
2022-12-08,172690,133862,2180096.39,3164328.32,4827,104558,yellow
2022-12-09,181328,135397,2113307.77,3084772.75,5616,104370,yellow
2022-12-10,181492,129278,1939086.63,2782836.57,5876,99104,yellow
2022-12-11,150415,107756,1727865.14,2481945.47,4455,82857,yellow
2022-12-12,147164,112374,1718588.22,2519681.65,3689,86034,yellow
2022-12-13,158951,124239,1870301.29,2741388.63,4754,96312,yellow
2022-12-14,164425,129324,-175892594.72,2873477.5,5371,99929,yellow
2022-12-15,167476,131175,2047990.98,2986784.49,5753,101949,yellow
2022-12-16,167548,127755,1984021.18,2896642.2600000002,7213,97174,yellow
