ID,Fuel Type Code,Station Name,City,State,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Geocode Status,Latitude,Longitude,NG Vehicle Class,EV Connector Types,Groups With Access Code (French),Access Detail Code,CNG Dispenser Num,CNG Vehicle Class,LNG Vehicle Class
150541,ELEC,Bruno's Bakery and Restaurant - Tesla Destination,Staten Island,NY,,2.0,,Tesla Destination,200-9,40.629424,-74.111586,,TESLA,Public,,,,
150564,ELEC,Longhouse Reserve - Tesla Destination,East Hampton,NY,,4.0,,Tesla Destination,200-9,40.981539,-72.199841,,TESLA,Public,,,,
150570,ELEC,Icon Parking 202 E 18th Street - Tesla Destination,Manhattan,NY,,2.0,,Tesla Destination,200-8,40.735561,-73.985319,,TESLA,Public,,,,
150571,ELEC,CenterPark 4172 Broadway - Tesla Destination,Washington Heights,NY,,4.0,,Tesla Destination,200-8,40.847482,-73.937862,,TESLA,Public,,,,
150572,ELEC,Icon Parking 175 W 90th Street - Tesla Destination,Manhattan,NY,,4.0,,Tesla Destination,200-8,40.790289,-73.972756,,TESLA,Public,,,,
150573,ELEC,Enterprise Parking 545 Washington Ave - Tesla Destination,Brooklyn,NY,,4.0,,Tesla Destination,200-9,40.681876,-73.964169,,TESLA,Public,,,,
150574,ELEC,Center Park 250 Albany - Tesla Destination,Manhattan,NY,,4.0,,Tesla Destination,200-8,40.709643,-74.015239,,TESLA,Public,,,,
150575,ELEC,Enterprise Parking 150 Myrtle Ave - Tesla Destination,Brooklyn,NY,,4.0,,Tesla Destination,200-9,40.693194,-73.982701,,TESLA,Public,,,,
150576,ELEC,Enterprise Parking 147 Flatbush Avenue Extension - Tesla Destination,Brooklyn,NY,,4.0,,Tesla Destination,200-9,40.69504,-73.98394,,TESLA,Public,,,,
150577,ELEC,MPG Parking 98-41 Queens Blvd - Tesla Destination,Rego Park,NY,,4.0,,Tesla Destination,200-8,40.729133,-73.855355,,TESLA,Public,,,,
150578,ELEC,LAZ Parking 133-59 Roosevelt Ave - Tesla Destination,Flushing,NY,,4.0,,Tesla Destination,200-8,40.758745,-73.833154,,TESLA,Public,,,,
150579,ELEC,LAZ Parking 136-20 38th Ave - Tesla Destination,Flushing,NY,,4.0,,Tesla Destination,200-9,40.760676,-73.829774,,TESLA,Public,,,,
150580,ELEC,IMPark 188 E 78th St - Tesla Destination,Manhattan,NY,,2.0,,Tesla Destination,200-9,40.773467,-73.958287,,TESLA,Public,,,,
150581,ELEC,IMPark 302 2nd St - Tesla Destination,Brooklyn,NY,,4.0,,Tesla Destination,200-9,40.674253,-73.985057,,TESLA,Public,,,,
150582,ELEC,IPark 255 Schermerhorn - Tesla Destination,Brooklyn,NY,,4.0,,Tesla Destination,200-9,40.687927,-73.982998,,TESLA,Public,,,,
150583,ELEC,IPark 99 3rd Avenue - Tesla Destination,Brooklyn,NY,,4.0,,Tesla Destination,200-8,40.683176,-73.981914,,TESLA,Public,,,,
150584,ELEC,PV Parking 34-11 Steinway - Tesla Destination,Astoria,NY,,4.0,,Tesla Destination,200-9,40.755508,-73.922168,,TESLA,Public,,,,
150585,ELEC,"Sylvan Parking 23-25 31st St, Astoria - Tesla Destination",Astoria,NY,,4.0,,Tesla Destination,200-9,40.773632,-73.913315,,TESLA,Public,,,,
150586,ELEC,Sylvan Parking 136-33 37th Ave - Tesla Destination,Flushing,NY,,3.0,,Tesla Destination,200-9,40.762206,-73.830022,,TESLA,Public,,,,
150587,ELEC,IMPark 92-77 Queens Blvd - Tesla Destination,Rego Park,NY,,4.0,,Tesla Destination,200-8,40.732184,-73.866525,,TESLA,Public,,,,
150596,ELEC,300 W 135 St - Little Man Parking - Tesla Destination,New York,NY,,4.0,,Tesla Destination,200-9,40.816366,-73.947365,,TESLA,Public,,,,
150600,ELEC,4545 Center Blvd-TF Cornerstone LIC - Tesla Destination,Long Island City,NY,,8.0,,Tesla Destination,200-9,40.748121,-73.95599,,TESLA,Public,,,,
150610,ELEC,Morty's Oyster Stand - Tesla Destination,Montauk,NY,,4.0,,Tesla Destination,200-9,41.002726,-72.031415,,TESLA,Public,,,,
150611,ELEC,The Kartrite Resort & Indoor Waterpark - Tesla Destination,Monticello,NY,,2.0,,Tesla Destination,200-9,41.661828,-74.644777,,TESLA,Public,,,,
150614,ELEC,ProPark 110-45 Queens Blvd - Tesla Destination,Forest Hills,NY,,4.0,,Tesla Destination,200-9,40.71961,-73.83934,,TESLA,Public,,,,
150616,ELEC,ProPark 29-10 Broadway - Tesla Destination,Astoria,NY,,4.0,,Tesla Destination,200-9,40.762417,-73.926985,,TESLA,Public,,,,
150624,ELEC,3050 Corlear Ave - Nagle Parking Inc. - Tesla Destination,Bronx,NY,,4.0,,Tesla Destination,200-9,40.8799,-73.907762,,TESLA,Public,,,,
150637,ELEC,Best Western Saranac Lake - Tesla Destination,Saranac Lake,NY,,2.0,,Tesla Destination,200-8,44.314712,-74.119133,,TESLA,Public,,,,
150639,ELEC,Sylvan Gerard Garage - Tesla Destination,Forest Hills,NY,,4.0,,Tesla Destination,200-9,40.72216,-73.849258,,TESLA,Public,,,,
150649,ELEC,19-80 Steinway - Tesla Destination,Astoria,NY,,4.0,,Tesla Destination,200-8,40.776944,-73.901382,,TESLA,Public,,,,
150653,ELEC,2702 Queens Plaza South - Tesla Destination,Long Island City,NY,,6.0,,Tesla Destination,200-9,40.749893,-73.939758,,TESLA,Public,,,,
150660,ELEC,Icon Parking 515 E 72nd Street - Tesla Destination,New York,NY,,3.0,,Tesla Destination,200-9,40.766857,-73.952647,,J1772 TESLA,Public,,,,
150678,ELEC,Hampton Inn & Suites Lake Placid - Tesla Destination,Lake Placid,NY,,2.0,,Tesla Destination,200-9,44.283189,-73.980597,,TESLA,Public,,,,
150686,ELEC,GGMC Parking MODA - Tesla Destination,Jamaica,NY,,7.0,,Tesla Destination,200-9,40.705192,-73.80223,,J1772 TESLA,Public,,,,
150697,ELEC,Brunos Bakery and Restaurant - Tesla Destination,Staten Island,NY,,2.0,,Tesla Destination,200-9,40.588001,-74.090126,,TESLA,Public,,,,
150722,ELEC,Manhattan Parking 110 LLC - Tesla Destination,New York,NY,,3.0,,Tesla Destination,200-9,40.804167,-73.965894,,J1772 TESLA,Public,,,,
