pickup_date,trip_distance,fare_amount,tip_amount,PULocationID,DOLocationID,ehail_fee,total_amount,payment_type
2021-11-05,322542.39999999997,82024.75,5066.05,448674,552709,0,97940.74,3830.0
2021-11-06,1009953.3300000001,72340.78,5023.64,385826,479063,0,86329.71,3504.0
2021-11-07,485128.81000000006,54472.63,3755.79,291965,343198,0,64958.25,2516.0
2021-11-08,380754.18,74797.53,4218.71,410558,499836,0,89018.88,3641.0
2021-11-09,688469.04,74797.54,4357.21,401879,501252,0,88913.47,3468.0
2021-11-10,1219727.3,79573.08,5060.4,439725,550288,0,95173.78,3902.0
2021-11-11,538658.0,78819.95,4964.92,419528,527227,0,93968.79,3569.0
2021-11-12,704256.7000000001,78401.11,5156.64,446057,551559,0,94286.47,4002.0
2021-11-13,597454.0,73698.29,5632.66,398727,498469,0,88176.97,3691.0
2021-11-14,812613.4,64216.4,4728.38,338316,415211,0,76891.92,2930.0
2021-11-15,762283.22,75006.86,4491.51,425027,521970,0,89563.22,3724.0
2021-11-16,2063491.59,75592.12,4610.52,409662,518360,0,90408.94,3674.0
2021-11-17,926718.3200000001,77383.37,4763.21,419238,522907,0,92468.08,3737.0
2021-11-18,380003.57,81883.5,5119.11,443608,542529,0,97470.53,3879.0
2021-11-19,615871.21,84382.74,5652.47,455047,546252,0,100788.35,3884.0
2021-11-20,870360.07,75230.76,5527.14,398408,496585,0,89677.85,3606.0
2021-11-21,452965.94,63911.69,4809.82,331092,424891,0,76653.68000000001,2927.0
2021-11-22,858547.35,74265.91,5004.47,420354,516835,0,89066.13,3750.0
2021-11-23,652908.7100000001,79314.71,5891.3,434647,532828,0,95197.15,3886.0
2021-11-24,1514459.07,75979.74,5372.92,416153,504659,0,90835.97,3757.0
2021-11-25,597836.92,54446.17,3936.73,291360,354401,0,65314.95,2467.0
2021-11-26,404948.33,47927.45,3452.14,271272,348548,0,57718.73,2845.0
2021-11-27,433990.41,55816.76,4053.04,315173,398908,0,66702.65,3174.0
2021-11-28,240782.09,50522.02,3930.61,264720,345730,0,60631.13,2462.0
2021-11-29,1274316.43,71671.61,4722.23,401020,499444,0,85919.11,3682.0
2021-11-30,702421.11,72623.65,4724.35,398278,500311,0,86940.23,3442.0
2021-12-01,778996.77,76261.62,5173.5,426673,523329,0,91516.32,3910.0
2021-12-02,479793.94,78172.83,4874.4,421022,528860,0,93214.27,3926.0
2021-12-03,1019888.37,84337.8,5477.75,464675,560467,0,100965.12,4137.0
2021-12-04,670736.72,72019.3,5320.41,387668,487311,0,86186.31,3584.0
2021-12-05,472724.5,63446.53,4966.81,335082,422646,0,76530.41,3063.0
2021-12-06,513821.57,71974.01,4541.92,401627,501328,0,86078.25,3892.0
2021-12-07,767222.71,70444.51,4780.6,399042,506289,0,84555.83,3980.0
2021-12-08,899072.9400000001,69524.5,5025.74,397880,515312,0,83766.76,4179.0
2021-12-09,868019.61,72513.3,5705.29,406637,524958,0,87719.24,4176.0
2021-12-10,784306.04,75551.12,5755.77,428191,533249,0,91118.29,4176.0
2021-12-11,873136.38,73428.85,5671.07,393752,493587,0,88097.45,3626.0
2021-12-12,424706.03,61003.67,4616.35,332575,414773,0,73120.09,3047.0
2021-12-13,799421.83,68686.97,5259.91,386773,496489,0,82714.5,3841.0
2021-12-14,610615.91,67928.38,5040.93,377187,482161,0,81873.09,3714.0
2021-12-15,1155349.56,82153.98,5076.86,433386,537468,0,97969.31,4053.0
2021-12-16,879920.8300000001,74728.31,5441.05,403598,508607,0,89784.11,3906.0
2021-12-17,529009.49,73512.79,5462.0199999999995,393656,496243,0,88506.83,3916.0
2021-12-18,949373.8400000001,62979.06,4914.55,330108,424878,0,75219.63,3452.0
2021-12-19,758567.72,53585.83,3889.03,281421,364278,0,63930.46,2711.0
2021-12-20,784085.84,64756.12,4708.04,363441,458536,0,77731.23,3614.0
2021-12-21,409183.43,62628.54,4383.01,340099,438150,0,75236.65,3349.0
2021-12-22,468115.64999999997,63828.88,4368.99,341101,429550,0,76308.9,3512.0
2021-12-23,315247.91000000003,63022.89,4364.57,331591,423297,0,75060.78,3534.0
2021-12-24,938240.96,46944.36,3085.64,246023,315230,0,55434.72,2856.0
2021-12-25,388914.96,32414.04,2064.34,151991,197659,0,38213.88,1475.0
2021-12-26,428150.96,40053.07,2247.53,206180,259459,0,47049.64,1932.0
2021-12-27,340031.62,36129.76,2751.88,218449,289244,0,43424.99,2829.0
2021-12-28,65687.52,39364.18,3107.3,220783,305345,0,47391.23,2857.0
2021-12-29,133273.99,39600.44,3480.64,230036,310732,0,48213.85,2930.0
2021-12-30,138802.01,44464.51,3802.51,250853,331564,0,53698.42,3182.0
2021-12-31,101947.8,38482.85,3317.97,215969,289449,0,46077.99,2881.0
2022-01-01,66392.31999999999,20361.61,2493.06,128935,176497,0,25128.72,1620.0
2022-01-02,81294.44000000002,21448.61,2622.52,142460,206993,0,26851.77,1946.0
2022-01-03,167630.93000000002,30798.87,3508.97,226326,309744,0,38778.99,3102.0
2022-01-04,169057.66,30469.21,3621.09,205735,292301,0,38390.1,2815.0
2022-01-05,196094.41999999998,30853.43,3613.48,213736,307039,0,39222.21,2958.0
2022-01-06,127835.92,32090.35,3710.07,231819,320657,0,40544.07,3102.0
2022-01-07,154365.72,24111.9,3047.83,177031,246560,0,30888.03,2362.0
2022-01-08,46979.409999999996,26510.93,3264.98,180248,257165,0,33259.46,2467.0
2022-01-09,4252.46,19377.73,2369.04,138198,186379,0,24154.97,1790.0
2022-01-10,175170.79,28642.78,3365.08,203758,291414,0,36332.11,2841.0
2022-01-11,70908.03,30015.53,3774.58,216539,306851,0,38212.61,2886.0
2022-01-12,141468.84,29879.5,3530.83,206049,294478,0,37702.98,2735.0
2022-01-13,193897.1,33032.98,3722.86,220018,305417,0,41163.39,2896.0
2022-01-14,13180.76,35061.38,4192.78,239063,330854,0,44205.81,3118.0
2022-01-15,58568.97,27561.37,3352.78,186292,254679,0,34159.35,2317.0
2022-01-16,618699.92,22500.13,2827.41,159459,225036,0,27997.74,1927.0
2022-01-17,61282.39000000001,20526.95,2594.77,148460,219396,0,25994.12,1908.0
2022-01-18,127806.32999999999,29146.45,3397.14,215559,298296,0,36773.340000000004,2825.0
2022-01-19,171067.82,32154.19,3660.69,222608,316167,0,40436.43,3078.0
2022-01-20,236889.22999999998,31993.82,3910.94,230469,319458,0,40688.96,2948.0
2022-01-21,224554.52,35335.77,3977.21,250255,335812,0,44135.98,3164.0
2022-01-22,134551.83,26952.89,3331.68,189648,262629,0,33627.17,2492.0
2022-01-23,95122.39,23339.41,2970.29,160961,227121,0,29135.35,1963.0
2022-01-24,212869.57,31482.53,3597.77,226518,308254,0,39446.3,2867.0
2022-01-25,6373.05,31598.05,3554.49,226471,316032,0,39682.29,2884.0
2022-01-26,20494.24,33032.65,4099.76,239463,327910,0,41813.36,2942.0
2022-01-27,362314.94,37324.73,4176.27,260477,349793,0,46429.15,3203.0
2022-01-28,383314.51,35141.06,4345.08,240266,333827,0,44098.29,3000.0
2022-01-29,1254.58,5980.91,793.5,39816,52322,0,7314.46,344.0
2022-01-30,316847.64,19741.1,2705.93,142160,205530,0,24917.53,1645.0
2022-01-31,219008.34,33227.1,4010.25,233031,314190,0,41727.55,2770.0
2022-02-01,324678.01,34800.17,3994.02,238688,325042,0,43268.19,3010.0
2022-02-02,44779.54,36999.3,4277.87,255877,342086,0,46196.62,3142.0
2022-02-03,299601.63,38666.59,4606.93,268831,362600,0,48279.17,3326.0
2022-02-04,504353.6,38475.83,4971.95,275733,376652,0,48745.06,3350.0
2022-02-05,159633.35,38355.95,5221.76,268736,367019,0,48153.71,3144.0
2022-02-06,360844.7,24613.43,3263.62,175062,241071,0,30784.0,2120.0
2022-02-07,320030.16,33046.58,4026.24,239663,330582,0,41580.37,3041.0
2022-02-08,247823.41999999998,33824.85,4170.89,245569,329781,0,42744.840000000004,3041.0
2022-02-09,135485.4,34623.06,4287.87,242474,346161,0,43810.28,3168.0
2022-02-10,70657.59000000001,36868.340000000004,4515.45,261906,359399,0,46677.090000000004,3367.0
2022-02-11,64413.03,40164.36,5033.67,278684,378244,0,50819.68,3514.0
2022-02-12,63524.87,36217.97,5048.11,245046,343335,0,45714.73,3032.0
2022-02-13,79661.59,25407.91,3539.05,172317,246637,0,31998.66,2048.0
2022-02-14,288693.94,38097.45,4919.51,269307,378036,0,48454.31,3447.0
2022-02-15,6747.82,34618.28,4319.92,253593,346208,0,43965.5,3229.0
2022-02-16,218255.72,36834.39,4474.83,261156,363293,0,46584.97,3320.0
2022-02-17,474277.5,39832.22,5107.93,281260,388347,0,50586.9,3632.0
2022-02-18,627688.4500000001,41986.18,5654.1,282435,385411,0,53519.23,3641.0
2022-02-19,245313.45,33690.14,4703.11,232034,322387,0,42491.0,2882.0
2022-02-20,125313.06999999999,27995.5,3584.51,184726,259490,0,34955.81,2331.0
2022-02-21,108222.58,28247.99,3780.89,202717,286978,0,36062.38,2576.0
2022-02-22,563934.01,33540.68,4245.64,244732,340364,0,42963.22,3132.0
2022-02-23,323590.25,37969.03,4782.59,275300,380353,0,48305.57,3543.0
2022-02-24,213461.43000000002,37137.31,4915.68,269956,374427,0,47768.14,3467.0
2022-02-25,189611.29,36314.66,4849.63,254131,356177,0,46473.14,3172.0
2022-02-26,352158.04000000004,35075.42,4573.77,240288,327003,0,43848.74,2977.0
2022-02-27,6342.16,28712.6,3990.18,193895,280550,0,36463.93,2347.0
2022-02-28,253992.04,34474.98,4205.72,250675,343128,0,43441.15,3219.0
2022-03-01,108785.83000000002,35548.67,4315.8,255380,355842,0,44926.32,3310.0
2022-03-02,317905.24,36582.25,4476.05,260454,361589,0,46209.45,3306.0
2022-03-03,7984.69,40217.19,4799.15,279548,379873,0,50484.79,3545.0
2022-03-04,570659.97,39210.05,4803.99,276261,379088,0,49352.74,3462.0
2022-03-05,116552.09,32869.55,4372.72,225210,307598,0,41128.77,2868.0
2022-03-06,286764.94,28169.57,4048.35,190545,263501,0,35531.02,2231.0
2022-03-07,262738.98,35229.11,4189.06,243323,337345,0,44402.42,3154.0
2022-03-08,138718.06,38227.06,4653.85,265289,366000,0,48270.41,3341.0
2022-03-09,278172.27,38222.1,5222.11,271475,369867,0,48862.01,3284.0
2022-03-10,58602.92,41146.07,5404.61,276488,374617,0,52233.08,3509.0
2022-03-11,117070.03,43356.14,5879.86,294070,393823,0,55219.92,3568.0
2022-03-12,392789.34,31663.29,4474.47,227076,306784,0,40181.81,2700.0
2022-03-13,70912.93000000001,29579.420000000002,4351.2,201991,279946,0,37631.32,2382.0
2022-03-14,59757.68,34433.68,4243.49,230829,317060,0,43402.92,2996.0
2022-03-15,67863.34,33366.5,4319.36,232529,320834,0,42422.61,2905.0
2022-03-16,58024.83,37671.59,4421.71,256941,355699,0,47064.6,3291.0
2022-03-17,66691.73999999999,40186.28,5318.94,276340,368888,0,50915.24,3432.0
2022-03-18,33302.52,40579.86,6136.87,272125,373168,0,52122.78,3348.0
2022-03-19,88247.34,35074.78,4880.47,236936,321005,0,44166.1,2918.0
2022-03-20,207044.09,32236.35,4514.86,201267,282418,0,40475.21,2431.0
2022-03-21,326389.79,34163.47,4276.95,232476,323187,0,43197.97,2972.0
2022-03-22,133235.8,33643.74,4369.51,245701,342706,0,43089.0,3139.0
2022-03-23,8064.34,38895.33,5083.5,280770,382999,0,49652.98,3525.0
2022-03-24,176881.55,40729.7,5403.97,277489,382142,0,51841.87,3560.0
2022-03-25,393342.66,41261.81,5558.14,291744,389820,0,52717.2,3620.0
2022-03-26,134461.65,37470.96,5213.36,250239,338536,0,47249.77,3015.0
2022-03-27,144541.12,30747.13,4540.93,214821,293893,0,39187.46,2548.0
2022-03-28,104862.18000000001,36179.43,4731.72,263379,368028,0,46288.15,3196.0
2022-03-29,143599.74000000002,39372.75,4820.91,275101,389341,0,49768.36,3489.0
2022-03-30,207627.34999999998,36906.92,4809.64,266665,368705,0,47218.96,3396.0
2022-03-31,148475.12,39519.31,5020.99,270265,368366,0,50069.05,3287.0
2022-04-01,98040.01,41419.5,5653.1,283052,385877,0,52873.55,3517.0
2022-04-02,356708.31,36062.65,5013.27,237272,318265,0,45158.56,2904.0
2022-04-03,241009.78,28477.5,4567.31,195829,280251,0,36729.96,2385.0
2022-04-04,108850.54999999999,33431.87,4273.67,251228,337231,0,42439.79,3187.0
2022-04-05,206769.12,37251.82,4746.98,272088,374683,0,47441.3,3383.0
2022-04-06,85225.87,37201.74,5212.92,265930,356675,0,47776.26,3097.0
2022-04-07,258522.75999999998,41415.19,5759.33,292425,392114,0,52851.42,3355.0
2022-04-08,29674.309999999998,41932.77,5903.91,285362,385213,0,53419.83,3456.0
2022-04-09,224723.99,38452.38,5500.66,252393,348361,0,48433.69,2931.0
2022-04-10,254044.27000000002,32484.3,4783.67,213237,298248,0,41269.52,2455.0
2022-04-11,452416.07,33265.14,4411.46,238417,328208,0,42489.0,2938.0
2022-04-12,8897.53,43125.76,6062.15,284182,389136,0,54971.81,3260.0
2022-04-13,436263.08,42145.87,5294.91,281072,378823,0,52951.73,3342.0
2022-04-14,59841.18,40457.36,5229.05,282660,377715,0,51403.46,3398.0
2022-04-15,296806.14,38192.61,5443.43,253410,340995,0,48858.840000000004,3015.0
2022-04-16,255514.67,33918.38,4915.21,231206,318610,0,42780.44,2784.0
2022-04-17,243702.79,31445.13,4557.19,213251,299082,0,40034.67,2551.0
